cycle,mode,tick_long_tripsmode
279,trip_ter,nil
279,trip_taxi,nil
280,trip_tgv,nil
280,trip_ter,nil
280,trip_taxi,nil
281,trip_tgv,nil
281,trip_ter,nil
281,trip_taxi,nil
282,trip_tgv,nil
282,trip_ter,nil
282,trip_taxi,nil
283,trip_tgv,nil
283,trip_ter,nil
283,trip_taxi,nil
284,trip_tgv,nil
284,trip_ter,nil
284,trip_taxi,nil
285,trip_tgv,nil
285,trip_ter,nil
285,trip_taxi,nil
286,trip_tgv,nil
286,trip_ter,nil
286,trip_taxi,nil
287,trip_tgv,nil
287,trip_ter,nil
287,trip_taxi,nil
288,trip_tgv,nil
288,trip_ter,nil
288,trip_taxi,nil
289,trip_tgv,nil
289,trip_ter,nil
289,trip_taxi,nil
290,trip_tgv,nil
290,trip_ter,nil
290,trip_taxi,nil
291,trip_tgv,nil
291,trip_ter,nil
291,trip_taxi,nil
292,trip_tgv,nil
292,trip_ter,nil
292,trip_taxi,nil
293,trip_tgv,nil
293,trip_ter,nil
293,trip_taxi,nil
294,trip_tgv,nil
294,trip_ter,nil
294,trip_taxi,nil
295,trip_tgv,nil
295,trip_ter,nil
295,trip_taxi,nil
296,trip_tgv,nil
296,trip_ter,nil
296,trip_taxi,nil
297,trip_tgv,nil
297,trip_ter,nil
297,trip_taxi,nil
298,trip_tgv,nil
298,trip_ter,nil
298,trip_taxi,nil
299,trip_tgv,nil
299,trip_ter,nil
299,trip_taxi,nil
300,trip_tgv,nil
300,trip_ter,nil
300,trip_taxi,nil
301,trip_tgv,nil
301,trip_ter,nil
301,trip_taxi,nil
302,trip_tgv,nil
302,trip_ter,nil
302,trip_taxi,nil
303,trip_tgv,nil
303,trip_ter,nil
303,trip_taxi,nil
304,trip_tgv,nil
304,trip_ter,nil
304,trip_taxi,nil
305,trip_tgv,nil
305,trip_ter,nil
305,trip_taxi,nil
306,trip_tgv,nil
306,trip_ter,nil
306,trip_taxi,nil
307,trip_tgv,nil
307,trip_ter,nil
307,trip_taxi,nil
308,trip_tgv,nil
308,trip_ter,nil
308,trip_taxi,nil
309,trip_tgv,nil
309,trip_ter,nil
309,trip_taxi,nil
310,trip_tgv,nil
310,trip_ter,nil
310,trip_taxi,nil
311,trip_tgv,nil
311,trip_ter,nil
311,trip_taxi,nil
312,trip_tgv,nil
312,trip_ter,nil
312,trip_taxi,nil
313,trip_tgv,nil
313,trip_ter,nil
313,trip_taxi,nil
314,trip_tgv,nil
314,trip_ter,nil
314,trip_taxi,nil
315,trip_tgv,nil
315,trip_ter,nil
315,trip_taxi,nil
316,trip_tgv,nil
316,trip_ter,nil
316,trip_taxi,nil
317,trip_tgv,nil
317,trip_ter,nil
317,trip_taxi,nil
318,trip_tgv,nil
318,trip_ter,nil
318,trip_taxi,nil
319,trip_tgv,nil
319,trip_ter,nil
319,trip_taxi,nil
320,trip_tgv,nil
320,trip_ter,nil
320,trip_taxi,nil
321,trip_tgv,nil
321,trip_ter,nil
321,trip_taxi,nil
322,trip_tgv,nil
322,trip_ter,nil
322,trip_taxi,nil
323,trip_tgv,nil
