cycle,e,tick_emissions_Te
857,gCO2e emissions,nil
858,gCO2e emissions,nil
859,gCO2e emissions,nil
860,gCO2e emissions,nil
861,gCO2e emissions,nil
862,gCO2e emissions,nil
863,gCO2e emissions,nil
864,gCO2e emissions,nil
865,gCO2e emissions,nil
866,gCO2e emissions,nil
867,gCO2e emissions,nil
868,gCO2e emissions,nil
869,gCO2e emissions,nil
870,gCO2e emissions,nil
871,gCO2e emissions,nil
872,gCO2e emissions,nil
873,gCO2e emissions,nil
874,gCO2e emissions,nil
875,gCO2e emissions,nil
876,gCO2e emissions,nil
877,gCO2e emissions,nil
878,gCO2e emissions,nil
879,gCO2e emissions,nil
880,gCO2e emissions,nil
881,gCO2e emissions,nil
882,gCO2e emissions,nil
883,gCO2e emissions,nil
884,gCO2e emissions,nil
885,gCO2e emissions,nil
886,gCO2e emissions,nil
887,gCO2e emissions,nil
888,gCO2e emissions,nil
889,gCO2e emissions,nil
890,gCO2e emissions,nil
891,gCO2e emissions,nil
892,gCO2e emissions,nil
893,gCO2e emissions,nil
894,gCO2e emissions,nil
895,gCO2e emissions,nil
896,gCO2e emissions,nil
897,gCO2e emissions,nil
898,gCO2e emissions,nil
899,gCO2e emissions,nil
900,gCO2e emissions,nil
901,gCO2e emissions,nil
902,gCO2e emissions,nil
903,gCO2e emissions,nil
904,gCO2e emissions,nil
905,gCO2e emissions,nil
906,gCO2e emissions,nil
907,gCO2e emissions,nil
908,gCO2e emissions,nil
909,gCO2e emissions,nil
910,gCO2e emissions,nil
911,gCO2e emissions,nil
912,gCO2e emissions,nil
913,gCO2e emissions,nil
914,gCO2e emissions,nil
915,gCO2e emissions,nil
916,gCO2e emissions,nil
917,gCO2e emissions,nil
918,gCO2e emissions,nil
919,gCO2e emissions,nil
920,gCO2e emissions,nil
921,gCO2e emissions,nil
922,gCO2e emissions,nil
923,gCO2e emissions,nil
924,gCO2e emissions,nil
925,gCO2e emissions,nil
926,gCO2e emissions,nil
927,gCO2e emissions,nil
928,gCO2e emissions,nil
929,gCO2e emissions,nil
930,gCO2e emissions,nil
931,gCO2e emissions,nil
932,gCO2e emissions,nil
933,gCO2e emissions,nil
934,gCO2e emissions,nil
935,gCO2e emissions,nil
936,gCO2e emissions,nil
937,gCO2e emissions,nil
938,gCO2e emissions,nil
939,gCO2e emissions,nil
940,gCO2e emissions,nil
941,gCO2e emissions,nil
942,gCO2e emissions,nil
943,gCO2e emissions,nil
944,gCO2e emissions,nil
945,gCO2e emissions,nil
946,gCO2e emissions,nil
947,gCO2e emissions,nil
948,gCO2e emissions,nil
949,gCO2e emissions,nil
950,gCO2e emissions,nil
951,gCO2e emissions,nil
952,gCO2e emissions,nil
953,gCO2e emissions,nil
954,gCO2e emissions,nil
955,gCO2e emissions,nil
956,gCO2e emissions,nil
957,gCO2e emissions,nil
958,gCO2e emissions,nil
959,gCO2e emissions,nil
960,gCO2e emissions,nil
961,gCO2e emissions,nil
962,gCO2e emissions,nil
963,gCO2e emissions,nil
964,gCO2e emissions,nil
965,gCO2e emissions,nil
966,gCO2e emissions,nil
967,gCO2e emissions,nil
968,gCO2e emissions,nil
969,gCO2e emissions,nil
970,gCO2e emissions,nil
971,gCO2e emissions,nil
972,gCO2e emissions,nil
973,gCO2e emissions,nil
974,gCO2e emissions,nil
975,gCO2e emissions,nil
976,gCO2e emissions,nil
977,gCO2e emissions,nil
978,gCO2e emissions,nil
979,gCO2e emissions,nil
980,gCO2e emissions,nil
