cycle,o,tick_consumption_Uo
66,modular house extension,nil
66,wooden house,0.2
66,plastic factory,0.2
66,company,0.2
66,leisure,0.2
66,school,0.2
67,modular house,0.2
67,modular house extension,nil
67,wooden house,0.2
67,plastic factory,0.2
67,company,0.2
67,leisure,0.2
67,school,0.2
68,modular house,0.2
68,modular house extension,nil
68,wooden house,0.2
68,plastic factory,0.2
68,company,0.2
68,leisure,0.2
68,school,0.2
69,modular house,0.2
69,modular house extension,nil
69,wooden house,0.2
69,plastic factory,0.2
69,company,0.2
69,leisure,0.2
69,school,0.2
70,modular house,0.2
70,modular house extension,nil
70,wooden house,0.2
70,plastic factory,0.2
70,company,0.2
70,leisure,0.2
70,school,0.2
71,modular house,0.2
71,modular house extension,nil
71,wooden house,0.2
71,plastic factory,0.2
71,company,0.2
71,leisure,0.2
71,school,0.2
72,modular house,0.2
72,modular house extension,nil
72,wooden house,0.2
72,plastic factory,0.2
72,company,0.2
72,leisure,0.2
72,school,0.2
73,modular house,0.2
73,modular house extension,nil
73,wooden house,0.2
73,plastic factory,0.2
73,company,0.2
73,leisure,0.2
73,school,0.2
74,modular house,0.2
74,modular house extension,nil
74,wooden house,0.2
74,plastic factory,0.2
74,company,0.2
74,leisure,0.2
74,school,0.2
75,modular house,0.2
75,modular house extension,nil
75,wooden house,0.2
75,plastic factory,0.2
75,company,0.2
75,leisure,0.2
75,school,0.2
76,modular house,0.2
76,modular house extension,nil
76,wooden house,0.2
76,plastic factory,0.2
76,company,0.2
76,leisure,0.2
76,school,0.2
77,modular house,0.2
77,modular house extension,nil
77,wooden house,0.2
77,plastic factory,0.2
77,company,0.2
77,leisure,0.2
77,school,0.2
78,modular house,0.2
78,modular house extension,nil
78,wooden house,0.2
78,plastic factory,0.2
78,company,0.2
78,leisure,0.2
78,school,0.2
79,modular house,0.2
79,modular house extension,nil
79,wooden house,0.2
79,plastic factory,0.2
79,company,0.2
79,leisure,0.2
79,school,0.2
80,modular house,0.2
80,modular house extension,nil
80,wooden house,0.2
80,plastic factory,0.2
80,company,0.2
80,leisure,0.2
80,school,0.2
81,modular house,0.2
81,modular house extension,nil
81,wooden house,0.2
81,plastic factory,0.2
81,company,0.2
81,leisure,0.2
81,school,0.2
82,modular house,0.2
82,modular house extension,nil
82,wooden house,0.2
82,plastic factory,0.2
82,company,0.2
82,leisure,0.2
82,school,0.2
83,modular house,0.2
83,modular house extension,nil
83,wooden house,0.2
83,plastic factory,0.2
83,company,0.2
83,leisure,0.2
83,school,0.2
84,modular house,0.2
84,modular house extension,nil
84,wooden house,0.2
84,plastic factory,0.2
84,company,0.2
84,leisure,0.2
84,school,0.2
85,modular house,0.2
85,modular house extension,nil
85,wooden house,0.2
85,plastic factory,0.2
85,company,0.2
85,leisure,0.2
85,school,0.2
86,modular house,0.2
86,modular house extension,nil
86,wooden house,0.2
86,plastic factory,0.2
86,company,0.2
86,leisure,0.2
86,school,0.2
87,modular house,0.2
87,modular house extension,nil
87,wooden house,0.2
87,plastic factory,0.2
87,company,0.2
87,leisure,0.2
87,school,0.2
88,modular house,0.2
88,modular house extension,nil
88,wooden house,0.2
88,plastic factory,0.2
88,company,0.2
88,leisure,0.2
88,school,0.2
89,modular house,0.2
89,modular house extension,nil
89,wooden house,0.2
89,plastic factory,0.2
89,company,0.2
89,leisure,0.2
89,school,0.2
90,modular house,0.2
90,modular house extension,nil
90,wooden house,0.2
90,plastic factory,0.2
90,company,0.2
90,leisure,0.2
90,school,0.2
91,modular house,0.2
91,modular house extension,nil
91,wooden house,0.2
91,plastic factory,0.2
91,company,0.2
91,leisure,0.2
91,school,0.2
92,modular house,0.2
92,modular house extension,nil
92,wooden house,0.2
92,plastic factory,0.2
92,company,0.2
92,leisure,0.2
92,school,0.2
93,modular house,0.2
93,modular house extension,nil
93,wooden house,0.2
93,plastic factory,0.2
93,company,0.2
93,leisure,0.2
93,school,0.2
94,modular house,0.2
94,modular house extension,nil
94,wooden house,0.2
94,plastic factory,0.2
94,company,0.2
94,leisure,0.2
94,school,0.2
95,modular house,0.2
95,modular house extension,nil
95,wooden house,0.2
95,plastic factory,0.2
95,company,0.2
95,leisure,0.2
95,school,0.2
96,modular house,0.2
96,modular house extension,nil
96,wooden house,0.2
96,plastic factory,0.2
96,company,0.2
96,leisure,0.2
96,school,0.2
97,modular house,0.2
97,modular house extension,nil
97,wooden house,0.2
97,plastic factory,0.2
97,company,0.2
97,leisure,0.2
97,school,0.2
98,modular house,0.2
98,modular house extension,nil
98,wooden house,0.2
98,plastic factory,0.2
98,company,0.2
98,leisure,0.2
98,school,0.2
99,modular house,0.2
99,modular house extension,nil
99,wooden house,0.2
99,plastic factory,0.2
99,company,0.2
99,leisure,0.2
99,school,0.2
100,modular house,0.2
100,modular house extension,nil
100,wooden house,0.2
100,plastic factory,0.2
100,company,0.2
100,leisure,0.2
100,school,0.2
101,modular house,0.2
101,modular house extension,nil
101,wooden house,0.2
101,plastic factory,0.2
101,company,0.2
101,leisure,0.2
101,school,0.2
102,modular house,0.2
102,modular house extension,nil
102,wooden house,0.2
102,plastic factory,0.2
102,company,0.2
102,leisure,0.2
102,school,0.2
103,modular house,0.2
103,modular house extension,nil
103,wooden house,0.2
103,plastic factory,0.2
103,company,0.2
103,leisure,0.2
103,school,0.2
