cycle,o,tick_production_Uo
21,wooden house,1029.0
21,plastic factory,0.0
21,company,0.0
21,leisure,0.0
21,school,0.0
22,modular house,0.0
22,modular house extension,0.0
22,wooden house,1029.0
22,plastic factory,0.0
22,company,0.0
22,leisure,0.0
22,school,0.0
23,modular house,0.0
23,modular house extension,0.0
23,wooden house,0.0
23,plastic factory,0.0
23,company,0.0
23,leisure,0.0
23,school,0.0
24,modular house,0.0
24,modular house extension,0.0
24,wooden house,0.0
24,plastic factory,0.0
24,company,0.0
24,leisure,0.0
24,school,0.0
25,modular house,0.0
25,modular house extension,0.0
25,wooden house,0.0
25,plastic factory,0.0
25,company,0.0
25,leisure,0.0
25,school,0.0
26,modular house,0.0
26,modular house extension,0.0
26,wooden house,0.0
26,plastic factory,0.0
26,company,0.0
26,leisure,0.0
26,school,0.0
27,modular house,0.0
27,modular house extension,0.0
27,wooden house,0.0
27,plastic factory,0.0
27,company,0.0
27,leisure,0.0
27,school,0.0
28,modular house,0.0
28,modular house extension,0.0
28,wooden house,0.0
28,plastic factory,0.0
28,company,0.0
28,leisure,0.0
28,school,0.0
29,modular house,0.0
29,modular house extension,0.0
29,wooden house,0.0
29,plastic factory,0.0
29,company,0.0
29,leisure,0.0
29,school,0.0
30,modular house,0.0
30,modular house extension,0.0
30,wooden house,0.0
30,plastic factory,0.0
30,company,0.0
30,leisure,0.0
30,school,0.0
31,modular house,0.0
31,modular house extension,0.0
31,wooden house,0.0
31,plastic factory,0.0
31,company,0.0
31,leisure,0.0
31,school,0.0
32,modular house,0.0
32,modular house extension,0.0
32,wooden house,0.0
32,plastic factory,0.0
32,company,0.0
32,leisure,0.0
32,school,0.0
33,modular house,0.0
33,modular house extension,0.0
33,wooden house,0.0
33,plastic factory,0.0
33,company,0.0
33,leisure,0.0
33,school,0.0
34,modular house,0.0
34,modular house extension,0.0
34,wooden house,0.0
34,plastic factory,0.0
34,company,0.0
34,leisure,0.0
34,school,0.0
35,modular house,0.0
35,modular house extension,0.0
35,wooden house,0.0
35,plastic factory,0.0
35,company,0.0
35,leisure,0.0
35,school,0.0
36,modular house,0.0
36,modular house extension,0.0
36,wooden house,3.0
36,plastic factory,0.0
36,company,0.0
36,leisure,0.0
36,school,0.0
37,modular house,0.0
37,modular house extension,0.0
37,wooden house,30.0
37,plastic factory,0.0
37,company,0.0
37,leisure,0.0
37,school,0.0
38,modular house,0.0
38,modular house extension,0.0
38,wooden house,87.0
38,plastic factory,0.0
38,company,0.0
38,leisure,0.0
38,school,0.0
39,modular house,0.0
39,modular house extension,0.0
39,wooden house,200.0
39,plastic factory,0.0
39,company,0.0
39,leisure,0.0
39,school,0.0
40,modular house,0.0
40,modular house extension,0.0
40,wooden house,356.0
40,plastic factory,0.0
40,company,0.0
40,leisure,0.0
40,school,0.0
41,modular house,0.0
41,modular house extension,0.0
41,wooden house,527.0
41,plastic factory,0.0
41,company,0.0
41,leisure,0.0
41,school,0.0
42,modular house,0.0
42,modular house extension,0.0
42,wooden house,691.0
42,plastic factory,0.0
42,company,0.0
42,leisure,0.0
42,school,0.0
43,modular house,0.0
43,modular house extension,0.0
43,wooden house,833.0
43,plastic factory,0.0
43,company,0.0
43,leisure,0.0
43,school,0.0
44,modular house,0.0
44,modular house extension,0.0
44,wooden house,939.0
44,plastic factory,0.0
44,company,0.0
44,leisure,0.0
44,school,0.0
45,modular house,0.0
45,modular house extension,0.0
45,wooden house,1029.0
45,plastic factory,0.0
45,company,0.0
45,leisure,0.0
45,school,0.0
46,modular house,0.0
46,modular house extension,0.0
46,wooden house,1029.0
46,plastic factory,0.0
46,company,0.0
46,leisure,0.0
46,school,0.0
47,modular house,0.0
47,modular house extension,0.0
47,wooden house,1026.0
47,plastic factory,0.0
47,company,0.0
47,leisure,0.0
47,school,0.0
48,modular house,0.0
48,modular house extension,0.0
48,wooden house,998.0
48,plastic factory,0.0
48,company,0.0
48,leisure,0.0
48,school,0.0
49,modular house,0.0
49,modular house extension,0.0
49,wooden house,928.0
49,plastic factory,0.0
49,company,0.0
49,leisure,0.0
49,school,0.0
50,modular house,0.0
50,modular house extension,0.0
50,wooden house,783.0
50,plastic factory,0.0
50,company,0.0
50,leisure,0.0
50,school,0.0
51,modular house,0.0
51,modular house extension,0.0
51,wooden house,581.0
51,plastic factory,0.0
51,company,0.0
51,leisure,0.0
51,school,0.0
52,modular house,0.0
52,modular house extension,0.0
52,wooden house,378.0
52,plastic factory,0.0
52,company,0.0
52,leisure,0.0
52,school,0.0
53,modular house,0.0
53,modular house extension,0.0
53,wooden house,190.0
53,plastic factory,0.0
53,company,0.0
53,leisure,0.0
53,school,0.0
54,modular house,0.0
54,modular house extension,0.0
54,wooden house,75.0
54,plastic factory,0.0
54,company,0.0
54,leisure,0.0
54,school,0.0
55,modular house,0.0
55,modular house extension,0.0
55,wooden house,14.0
55,plastic factory,0.0
55,company,0.0
55,leisure,0.0
55,school,0.0
56,modular house,0.0
56,modular house extension,0.0
56,wooden house,0.0
56,plastic factory,0.0
56,company,0.0
56,leisure,0.0
56,school,0.0
57,modular house,0.0
57,modular house extension,0.0
57,wooden house,0.0
57,plastic factory,0.0
57,company,0.0
57,leisure,0.0
57,school,0.0
58,modular house,0.0
58,modular house extension,0.0
58,wooden house,0.0
58,plastic factory,0.0
58,company,0.0
58,leisure,0.0
58,school,0.0
59,modular house,0.0
59,modular house extension,0.0
59,wooden house,0.0
59,plastic factory,0.0
59,company,0.0
59,leisure,0.0
59,school,0.0
60,modular house,0.0
60,modular house extension,0.0
60,wooden house,0.0
60,plastic factory,0.0
60,company,0.0
60,leisure,0.0
60,school,0.0
61,modular house,0.0
61,modular house extension,0.0
61,wooden house,0.0
61,plastic factory,0.0
61,company,0.0
61,leisure,0.0
61,school,0.0
62,modular house,0.0
62,modular house extension,0.0
62,wooden house,1.0
62,plastic factory,0.0
62,company,0.0
62,leisure,0.0
62,school,0.0
63,modular house,0.0
63,modular house extension,0.0
63,wooden house,3.0
63,plastic factory,0.0
63,company,0.0
63,leisure,0.0
63,school,0.0
64,modular house,0.0
64,modular house extension,0.0
64,wooden house,18.0
64,plastic factory,0.0
64,company,0.0
64,leisure,0.0
64,school,0.0
65,modular house,0.0
65,modular house extension,0.0
65,wooden house,45.0
65,plastic factory,0.0
65,company,0.0
65,leisure,0.0
65,school,0.0
66,modular house,0.0
66,modular house extension,0.0
66,wooden house,96.0
66,plastic factory,0.0
66,company,0.0
66,leisure,0.0
66,school,0.0
67,modular house,0.0
67,modular house extension,0.0
67,wooden house,173.0
67,plastic factory,0.0
67,company,0.0
67,leisure,0.0
67,school,0.0
68,modular house,0.0
68,modular house extension,0.0
68,wooden house,291.0
68,plastic factory,0.0
68,company,0.0
68,leisure,0.0
68,school,0.0
69,modular house,0.0
69,modular house extension,0.0
69,wooden house,407.0
69,plastic factory,0.0
69,company,0.0
69,leisure,0.0
69,school,0.0
70,modular house,0.0
70,modular house extension,0.0
70,wooden house,535.0
70,plastic factory,0.0
70,company,0.0
70,leisure,0.0
70,school,0.0
71,modular house,0.0
71,modular house extension,0.0
71,wooden house,671.0
71,plastic factory,0.0
71,company,0.0
71,leisure,0.0
71,school,0.0
72,modular house,0.0
72,modular house extension,0.0
72,wooden house,808.0
72,plastic factory,0.0
72,company,0.0
72,leisure,0.0
72,school,0.0
73,modular house,0.0
73,modular house extension,0.0
73,wooden house,899.0
73,plastic factory,0.0
73,company,0.0
73,leisure,0.0
73,school,0.0
74,modular house,0.0
74,modular house extension,0.0
74,wooden house,962.0
74,plastic factory,0.0
74,company,0.0
74,leisure,0.0
74,school,0.0
75,modular house,0.0
75,modular house extension,0.0
75,wooden house,986.0
75,plastic factory,0.0
75,company,0.0
75,leisure,0.0
75,school,0.0
76,modular house,0.0
76,modular house extension,0.0
76,wooden house,964.0
76,plastic factory,0.0
76,company,0.0
76,leisure,0.0
76,school,0.0
77,modular house,0.0
77,modular house extension,0.0
77,wooden house,906.0
77,plastic factory,0.0
77,company,0.0
77,leisure,0.0
77,school,0.0
78,modular house,0.0
78,modular house extension,0.0
78,wooden house,807.0
78,plastic factory,0.0
78,company,0.0
78,leisure,0.0
78,school,0.0
79,modular house,0.0
79,modular house extension,0.0
79,wooden house,673.0
79,plastic factory,0.0
79,company,0.0
79,leisure,0.0
79,school,0.0
80,modular house,0.0
80,modular house extension,0.0
80,wooden house,532.0
80,plastic factory,0.0
80,company,0.0
80,leisure,0.0
80,school,0.0
81,modular house,0.0
81,modular house extension,0.0
81,wooden house,370.0
81,plastic factory,0.0
81,company,0.0
81,leisure,0.0
81,school,0.0
82,modular house,0.0
82,modular house extension,0.0
82,wooden house,232.0
82,plastic factory,0.0
82,company,0.0
82,leisure,0.0
82,school,0.0
83,modular house,0.0
83,modular house extension,0.0
83,wooden house,124.0
83,plastic factory,0.0
83,company,0.0
83,leisure,0.0
83,school,0.0
84,modular house,0.0
84,modular house extension,0.0
84,wooden house,61.0
84,plastic factory,0.0
84,company,0.0
84,leisure,0.0
84,school,0.0
85,modular house,0.0
85,modular house extension,0.0
85,wooden house,17.0
85,plastic factory,0.0
85,company,0.0
85,leisure,0.0
85,school,0.0
86,modular house,0.0
86,modular house extension,0.0
86,wooden house,5.0
86,plastic factory,0.0
86,company,0.0
86,leisure,0.0
86,school,0.0
87,modular house,0.0
87,modular house extension,0.0
87,wooden house,2.0
87,plastic factory,0.0
87,company,0.0
87,leisure,0.0
87,school,0.0
88,modular house,0.0
88,modular house extension,0.0
88,wooden house,0.0
88,plastic factory,0.0
88,company,0.0
88,leisure,0.0
88,school,0.0
89,modular house,0.0
89,modular house extension,0.0
89,wooden house,0.0
89,plastic factory,0.0
89,company,0.0
89,leisure,0.0
89,school,0.0
90,modular house,0.0
90,modular house extension,0.0
90,wooden house,3.0
90,plastic factory,0.0
90,company,0.0
90,leisure,0.0
90,school,0.0
91,modular house,0.0
91,modular house extension,0.0
91,wooden house,4.0
91,plastic factory,0.0
91,company,0.0
91,leisure,0.0
91,school,0.0
92,modular house,0.0
92,modular house extension,0.0
92,wooden house,13.0
92,plastic factory,0.0
92,company,0.0
92,leisure,0.0
92,school,0.0
93,modular house,0.0
93,modular house extension,0.0
93,wooden house,37.0
93,plastic factory,0.0
93,company,0.0
93,leisure,0.0
93,school,0.0
94,modular house,0.0
94,modular house extension,0.0
94,wooden house,87.0
94,plastic factory,0.0
94,company,0.0
94,leisure,0.0
94,school,0.0
95,modular house,0.0
95,modular house extension,0.0
95,wooden house,143.0
95,plastic factory,0.0
95,company,0.0
95,leisure,0.0
95,school,0.0
96,modular house,0.0
96,modular house extension,0.0
96,wooden house,244.0
96,plastic factory,0.0
96,company,0.0
96,leisure,0.0
96,school,0.0
97,modular house,0.0
97,modular house extension,0.0
97,wooden house,350.0
97,plastic factory,0.0
97,company,0.0
97,leisure,0.0
97,school,0.0
98,modular house,0.0
98,modular house extension,0.0
98,wooden house,480.0
98,plastic factory,0.0
98,company,0.0
98,leisure,0.0
98,school,0.0
99,modular house,0.0
99,modular house extension,0.0
99,wooden house,591.0
99,plastic factory,0.0
99,company,0.0
99,leisure,0.0
99,school,0.0
100,modular house,0.0
100,modular house extension,0.0
100,wooden house,695.0
100,plastic factory,0.0
100,company,0.0
100,leisure,0.0
100,school,0.0
101,modular house,0.0
101,modular house extension,0.0
